sensor_id,unit,n,ts_min,ts_max,mean,std,min,p50,max,zeros,negatives
achat_et_vente_energie_negative_production_kwh,KWh,16558,2025-01-01,2025-12-31 23:54:06,12380.979949269235,2454.3299006161237,0.0,11959.0,25319.0,18,0
achat_et_vente_energie_negative_steg_kwh,KWh,16558,2025-01-01,2025-12-31 23:54:06,3579623.933023312,753984.7597952852,0.0,3549078.0,6101053.0,18,0
achat_et_vente_energie_positive_production_kwh,KWh,16558,2025-01-01,2025-12-31 23:54:06,8422638.280347869,1629989.767357495,0.0,8313831.0,14869723.0,18,0
achat_et_vente_energie_positive_steg_kwh,KWh,16558,2025-01-01,2025-12-31 23:54:06,799203.2503321657,64667.96799180788,0.0,788205.0,1138092.0,18,0
consommation_auxiliare_energie_electrique_en_kwh,KWh,16558,2025-01-01,2025-12-31 23:54:06,622371.5712404879,123004.47794204904,0.0,600556.8,1157394.0,18,0
consommation_gaz_consommation_du_gaz_naturel_moteur_en_nm3_volume,Nm3,16558,2025-01-01,2025-12-31 23:54:06,2027979.3905060997,400501.55169731297,0.0,1994385.5,3616067.0,18,0
consommation_gaz_debit_du_gaz_naturel_moteur_en_nm3_h,Nm3,16558,2025-01-01,2025-12-31 23:54:06,264.09753895397995,42.708983308152675,0.0,270.89,295.66,380,0
energie_moteur_courant_phase_1_en_a,A,16558,2025-01-01,2025-12-31 23:54:06,1735.6199420219834,284.98597455871925,0.0,1782.0,2276.0,420,0
energie_moteur_courant_phase_2_en_a,A,16558,2025-01-01,2025-12-31 23:54:06,1758.624229979466,288.7802218754105,0.0,1805.0,2227.0,420,0
energie_moteur_courant_phase_3_en_a,A,16558,2025-01-01,2025-12-31 23:54:06,1690.9125498248582,277.92654545010623,0.0,1736.0,2249.0,420,0
energie_moteur_energie_electrique_au_borne_de_l_alternateur_en_kwh,KWh,16558,2025-01-01,2025-12-31 23:54:06,9080853.102427829,1769290.4676615857,0.0,8937860.0,16074070.0,17,0
energie_moteur_energie_reactive_en_kvarh,KVARh,16558,2025-01-01,2025-12-31 23:54:06,1816059.9401497766,272492.87640585523,0.0,1853562.5,2620598.0,17,0
energie_moteur_facteur_de_puissance,,16558,2025-01-01,2025-12-31 23:54:06,0.9713026935620245,0.03255372754783065,0.0,0.98,1.0,14,0
energie_moteur_heure_de_fonctionnement,,16558,2025-01-01,2025-12-31 23:54:06,7466.014252929098,1660.8915280030335,0.0,7452.0,13505.0,17,0
energie_moteur_puissance_electrique_brute_en_kw,KW,16558,2025-01-01,2025-12-31 23:54:06,1169.5398598864597,191.5799680796065,0.0,1202.0,1479.0,420,0
energie_moteur_vitesse_en_rpm,rpm,16558,2025-01-01,2025-12-31 23:54:06,1442.8425474091073,287.9254523705904,0.0,1500.2,1530.8,634,0
