timestamp,ax,ay,az
0,1.14429,-0.0437,0.3938
2,1.12451,-0.06104,0.33105
4,1.1145,-0.0791,0.33667
15,1.0564,-0.1709,0.08887
17,1.07153,-0.1394,0.13843
19,1.0708,-0.1001,0.18042
21,1.05298,-0.08594,0.21777
23,1.01782,-0.08105,0.22607
25,0.97949,-0.10278,0.21704
27,0.94458,-0.12964,0.20337
29,0.90967,-0.16797,0.16553
31,0.89844,-0.19165,0.14941
33,0.87964,-0.2146,0.12109
35,0.87378,-0.21411,0.09302
37,0.85986,-0.21509,0.07935
39,0.85327,-0.20728,0.0791
41,0.83398,-0.20483,0.06567
52,0.68628,-0.21216,0.07764
54,0.67139,-0.20947,0.07397
56,0.65112,-0.19873,0.07373
58,0.63599,-0.2063,0.08472
60,0.60937,-0.20288,0.06421
62,0.59448,-0.2019,0.0686
64,0.56226,-0.19531,0.06274
66,0.53857,-0.19604,0.05737
68,0.49951,-0.20142,0.06177
70,0.4646,-0.2019,0.08301
72,0.42847,-0.2002,0.09351
74,0.39795,-0.19873,0.09277
76,0.38013,-0.20435,0.08789
87,0.26587,-0.27759,0.04712
89,0.24976,-0.28906,0.02954
91,0.23706,-0.29858,0.00342
93,0.22876,-0.31274,0.00757
95,0.2312,-0.3125,-0.00146
97,0.22363,-0.32666,-0.02197
99,0.21533,-0.33936,-0.04883
101,0.21655,-0.35376,-0.02979
103,0.20361,-0.37061,-0.06055
105,0.19531,-0.39722,-0.10352
107,0.19824,-0.4397,-0.12549
109,0.20264,-0.47217,-0.12427
120,0.4668,-0.53687,-0.09961
122,0.47949,-0.52441,-0.05127
124,0.5332,-0.51343,0.03662
126,0.67871,-0.51978,0.10498
128,1.02856,-0.5293,0.21313
130,1.99994,-0.37988,0.62207
132,1.99994,1.99994,1.99994
134,1.99994,1.99994,-0.01538
136,1.99994,-0.57861,-0.69067
138,-0.97852,-0.3728,-2.0
140,1.1438,0.31494,0.03345
142,1.45679,-0.00342,1.57397
144,0.94653,-0.55298,0.21167
155,0.97095,-0.10034,0.15063
157,0.8877,-0.14502,0.65381
159,0.68433,-0.14063,0.52637
161,0.74121,0.01343,0.21582
163,0.87085,0.1272,-0.14697
165,0.89722,0.07715,-0.08594
167,0.9519,-0.0437,0.05176
169,1.00366,-0.17432,0.1626
171,1.00928,-0.24951,0.26782
173,0.97363,-0.32251,0.2334
175,0.95435,-0.35889,0.1814
177,1.02124,-0.33569,0.09448
179,1.13086,-0.24658,0.03638
181,1.29761,-0.16577,-0.11523
192,1.88306,0.82788,0.04028
194,1.89526,0.81079,0.1438
196,1.84204,0.75293,0.11426
198,1.75317,0.62646,0.11963
200,1.64795,0.47827,0.13818
202,1.55347,0.36694,0.16943
204,1.47559,0.28467,0.19604
206,1.39746,0.21216,0.20605
208,1.33301,0.16821,0.18188
210,1.25439,0.11694,0.125
212,1.19214,0.03931,0.06323
214,1.13428,-0.02539,0.02222
216,1.09204,-0.08032,-0.01074
218,1.04614,-0.15869,0.00171
229,0.84741,-0.38794,0.01123
231,0.84277,-0.38696,0.02905
233,0.81543,-0.38599,0.00073
235,0.79834,-0.40137,-0.03687
237,0.78491,-0.39648,-0.08643
239,0.75952,-0.39331,-0.11279
241,0.72876,-0.39648,-0.13623
243,0.71362,-0.37842,-0.14795
245,0.7063,-0.36035,-0.17749
247,0.67334,-0.3374,-0.18262
249,0.63867,-0.31616,-0.15967
251,0.59009,-0.30542,-0.13867
253,0.53638,-0.28052,-0.09766
264,0.32422,-0.24634,0.09961
266,0.31079,-0.24829,0.15088
268,0.25513,-0.24268,0.17383
270,0.21045,-0.22656,0.2002
272,0.16528,-0.22388,0.21045
274,0.11963,-0.20874,0.23608
276,0.08862,-0.19214,0.26172
278,0.05762,-0.18433,0.29102
280,0.03296,-0.18042,0.29272
282,0.01538,-0.1814,0.29883
284,-0.0022,-0.1875,0.29199
286,0.00244,-0.20166,0.24854
288,0.01294,-0.20435,0.2002
299,0.37573,-0.29712,-0.18237
301,0.38013,-0.29541,-0.17432
303,0.33838,-0.30615,-0.17407
305,0.2793,-0.30347,-0.16211
307,0.22021,-0.31885,-0.12378
309,0.20776,-0.34204,-0.14819
311,0.21704,-0.37109,-0.16528
313,0.27295,-0.40063,-0.20312
315,0.36108,-0.42285,-0.23755
317,0.47119,-0.44678,-0.21802
319,0.63306,-0.45166,-0.23975
321,0.83032,-0.43506,-0.19385
332,-2.0,-1.78931,-2.0
334,1.99994,-1.45068,1.99994
336,1.6145,0.40527,-2.0
338,-0.34961,0.42285,-1.17651
340,0.48462,-0.35937,1.12524
342,1.13989,-0.03125,1.17676
344,1.01147,0.12183,0.11865
346,1.08325,0.1394,-0.57129
348,1.38159,0.12817,-0.71777
350,1.51514,-0.14331,-0.06055
352,1.37354,-0.20703,0.67383
354,1.11938,-0.23047,0.61743
365,0.76001,-0.82593,0.4895
367,0.67749,-0.85791,0.18115
369,0.69336,-0.86548,0.16821
371,0.78369,-0.66138,0.19312
373,1.04565,-0.22437,0.13843
375,1.71338,0.36597,-0.17871
377,1.99994,1.12671,-0.75439
379,1.99994,1.56909,-0.40698
381,1.99994,1.5271,0.26025
383,1.9585,1.52808,0.10791
385,1.99994,1.46924,-0.01587
387,1.99994,1.29492,0.14575
389,1.94775,0.98657,0.1748
391,1.78857,0.69165,0.07251
402,1.0542,-0.28784,0.1521
404,0.9668,-0.38062,0.15015
406,0.91016,-0.44263,0.09814
408,0.86108,-0.48657,0.10913
410,0.82959,-0.48975,0.05859
412,0.8064,-0.46387,-0.00171
414,0.77222,-0.42969,-0.05469
416,0.7395,-0.40625,-0.12109
418,0.72485,-0.38306,-0.15283
420,0.73389,-0.37769,-0.16455
422,0.74219,-0.36328,-0.17358
424,0.75513,-0.34448,-0.13867
426,0.76685,-0.34692,-0.11865
437,0.60522,-0.26465,0.02051
439,0.59326,-0.26465,0.04395
441,0.57056,-0.26099,0.07227
443,0.53979,-0.23071,0.11133
445,0.50903,-0.20557,0.14136
447,0.48486,-0.17993,0.13281
449,0.43994,-0.16553,0.15063
451,0.38379,-0.16943,0.15771
453,0.34204,-0.14087,0.14966
455,0.31226,-0.11841,0.19824
457,0.28467,-0.10791,0.23486
459,0.25464,-0.08472,0.26807
461,0.23096,-0.0603,0.26978
472,0.12842,0.00415,0.18042
474,0.11792,-0.00562,0.14771
476,0.11621,-0.01904,0.12354
478,0.12012,-0.02905,0.09985
480,0.10693,-0.03418,0.10449
482,0.08862,-0.03979,0.12158
484,0.05249,-0.073,0.08398
486,0.05005,-0.08276,0.01343
488,0.03564,-0.12769,-0.04248
490,0.04932,-0.20166,-0.10352
492,0.11304,-0.28174,-0.21045
494,0.16602,-0.39062,-0.27905
496,0.20898,-0.43945,-0.33008
507,0.13477,-0.49023,-0.34546
509,0.20068,-0.5083,-0.28247
511,0.28589,-0.57593,-0.34912
513,0.47437,-0.64502,-0.41309
515,0.7312,-0.70215,-0.4624
517,0.98462,-0.72217,-0.39819
519,1.11426,-0.69629,-0.3313
521,1.1897,-0.604,-0.26514
