timestamp,ax,ay,az
0,1.0188,-0.01074,0.10571
2,1.02026,-0.00684,0.09985
13,1.02319,-0.00391,0.11133
15,1.02026,-0.00171,0.10156
17,1.01929,-0.00098,0.10352
19,1.02856,-0.00171,0.09863
21,1.01904,-0.00342,0.10498
23,1.01953,-0.00684,0.10571
25,1.02417,-0.00586,0.10132
27,1.02075,-0.0022,0.0979
29,1.02173,-0.00659,0.10059
31,1.01978,-0.00195,0.10376
33,1.02393,-0.01074,0.10132
35,1.02783,-0.00684,0.10474
46,1.02051,-0.00317,0.09546
48,1.01758,-0.00464,0.10254
50,1.02441,-0.00488,0.09375
52,1.01782,-0.00732,0.10449
54,1.0249,-0.00415,0.11157
56,1.02002,-0.00488,0.10522
58,1.01636,-0.00757,0.10205
60,1.02295,-0.00635,0.10645
62,1.01953,-0.00732,0.09839
64,1.01929,-0.01025,0.09937
66,1.02881,-0.00537,0.10254
68,1.02319,-0.00513,0.10205
79,1.01953,-0.00659,0.10327
81,1.01978,-0.00854,0.09644
83,1.01318,-0.00928,0.10498
85,1.02075,-0.00415,0.09839
87,1.01709,-0.00732,0.10425
89,1.02197,-0.00879,0.10327
91,1.02271,-0.00781,0.10522
93,1.02026,-0.00708,0.09863
95,1.02271,-0.0083,0.10156
97,1.01929,-0.01025,0.09692
108,1.02051,-0.00073,0.10449
110,1.02197,-0.00464,0.10376
112,1.02271,-0.00854,0.10083
114,1.02051,-0.00732,0.10645
116,1.02612,0.00049,0.10425
118,1.021,-0.00415,0.10718
120,1.02441,0.00073,0.09717
122,1.01855,-0.00635,0.10205
124,1.02563,-0.00562,0.10669
126,1.01807,-0.00903,0.10181
128,1.01636,-0.01147,0.11255
130,1.01709,-0.00391,0.10645
141,1.02734,-0.0105,0.10229
143,1.01904,-0.00464,0.11035
145,1.01831,-0.00903,0.1062
147,1.0249,-0.00854,0.10815
149,1.01904,-0.00903,0.104
151,1.02246,-0.00854,0.10571
153,1.01514,-0.00146,0.09521
155,1.01733,-0.00635,0.10718
157,1.02222,-0.0061,0.09717
159,1.02124,-0.00952,0.11011
161,1.02051,-0.01587,0.10376
163,1.01294,-0.00757,0.09961
174,1.01953,-0.01123,0.10107
176,1.01343,-0.00171,0.10083
178,1.02051,-0.00879,0.09351
180,1.0188,-0.00562,0.1145
182,1.01782,-0.00928,0.09814
184,1.02148,-0.01001,0.0979
186,1.02344,-0.0061,0.10815
188,1.01807,-0.01074,0.0979
190,1.02051,-0.00049,0.10571
192,1.02539,-0.00684,0.10352
194,1.02295,-0.00732,0.104
196,1.01831,-0.00659,0.10156
207,1.02002,-0.00537,0.09839
209,1.01563,-0.00391,0.09863
211,1.01489,-0.00537,0.10449
213,1.02319,-0.00806,0.10034
215,1.01855,-0.00244,0.10156
217,1.02563,-0.0083,0.10205
219,1.02173,-0.00464,0.09961
221,1.01733,-0.0083,0.10791
223,1.02368,-0.00684,0.10132
225,1.02515,-0.01001,0.10449
227,1.02441,-0.00635,0.10205
229,1.02271,-0.00171,0.10205
240,1.01709,-0.00732,0.09644
242,1.02344,-0.00415,0.09839
244,1.02222,-0.00854,0.10815
246,1.02344,-0.00732,0.10718
248,1.02515,-0.0022,0.10107
250,1.01807,-0.01001,0.10205
252,1.01904,-0.00244,0.09692
254,1.02148,-0.00391,0.10718
256,1.01929,-0.00269,0.10815
258,1.02417,-0.0061,0.10034
260,1.02612,-0.00391,0.09888
262,1.01733,-0.0083,0.09839
273,1.02173,-0.0083,0.1001
275,1.02246,-0.00781,0.09863
277,1.02173,-0.01001,0.10645
279,1.02344,-0.01025,0.09912
281,1.01416,-0.00635,0.10107
283,1.02368,-0.00903,0.10327
285,1.02539,-0.01489,0.104
287,1.02539,-0.0144,0.09985
289,1.02246,-0.0144,0.10498
291,1.01831,-0.01294,0.10059
293,1.02539,-0.01147,0.10571
304,1.02441,-0.0061,0.10498
306,1.02344,-0.01147,0.10547
308,1.01978,-0.00562,0.1001
310,1.0188,-0.01147,0.10132
312,1.01855,-0.0083,0.09766
314,1.02393,-0.00732,0.10181
316,1.02563,-0.00757,0.10034
318,1.02612,-0.01099,0.09668
320,1.02319,-0.00806,0.10376
322,1.02295,-0.01074,0.10352
324,1.02539,-0.00977,0.11572
326,1.02222,-0.00342,0.0979
337,1.02344,-0.00854,0.10327
339,1.02393,-0.0083,0.09961
341,1.02051,-0.00366,0.10205
343,1.02197,-0.00879,0.09375
345,1.02051,-0.0061,0.0979
347,1.02173,-0.00269,0.10352
349,1.02466,-0.00488,0.09302
351,1.02051,-0.00732,0.09912
353,1.02441,-0.00952,0.10107
355,1.02026,-0.00342,0.09888
357,1.02173,-0.01123,0.09985
359,1.02319,-0.0083,0.10815
370,1.02393,0.0,0.104
372,1.02148,-0.00317,0.09741
374,1.01294,-0.00293,0.09863
376,1.01953,-0.00977,0.09717
378,1.0188,-0.00317,0.09985
380,1.02222,-0.01123,0.10986
382,1.02295,-0.00391,0.10034
384,1.02759,-0.00708,0.11084
386,1.03247,-0.00366,0.10181
388,1.02197,-0.00586,0.09497
390,1.02441,-0.00757,0.10278
392,1.02344,-0.00073,0.10352
403,1.02271,-0.00488,0.10498
405,1.02148,-0.00537,0.09619
407,1.01636,-0.01392,0.09961
409,1.021,-0.00562,0.09399
411,1.021,-0.00513,0.09546
413,1.01855,-0.00488,0.10327
415,1.02148,-0.00049,0.10107
417,1.02075,-0.00562,0.11133
419,1.01855,-0.00781,0.10034
421,1.02393,-0.00586,0.1145
423,1.02173,-0.0061,0.10107
425,1.01831,-0.00854,0.10718
436,1.02271,-0.0061,0.1123
438,1.021,-0.00708,0.10791
440,1.02539,-0.00342,0.10669
442,1.02075,-0.00952,0.10156
444,1.02222,-0.00244,0.10181
446,1.021,-0.00635,0.10327
448,1.01611,-0.0061,0.10083
450,1.01855,-0.00854,0.10669
452,1.01294,-0.01367,0.104
454,1.01636,-0.00293,0.10156
456,1.01416,-0.00269,0.10986
458,1.02002,0.00171,0.09106
469,1.02417,-0.00244,0.10547
471,1.0188,-0.00537,0.09521
473,1.02148,-0.00269,0.10107
475,1.02612,-0.00244,0.10571
477,1.01587,-0.0083,0.09961
479,1.01392,-0.00781,0.09717
481,1.02246,-0.00928,0.09741
483,1.02051,-0.01099,0.10083
485,1.02051,-0.00415,0.10522
487,1.02759,-0.00708,0.104
489,1.02612,-0.00708,0.09863
491,1.01709,-0.00952,0.10327
502,1.02124,-0.00781,0.10986
504,1.0188,-0.0105,0.10596
506,1.02222,-0.00562,0.10742
508,1.02612,-0.01074,0.09814
510,1.02417,-0.00464,0.10278
512,1.01489,-0.00659,0.09814
514,1.01758,-0.00342,0.0957
516,1.01978,-0.00708,0.10474
518,1.02002,-0.00879,0.10327
520,1.01392,-0.00366,0.09448
522,1.02075,-0.00708,0.09888
524,1.02393,-0.01123,0.10962
535,1.02319,-0.00732,0.104
537,1.01636,-0.00684,0.09497
539,1.02222,-0.00562,0.10205
541,1.02026,0.0,0.09814
543,1.02246,-0.00708,0.10571
545,1.02271,-0.00635,0.10449
547,1.01978,-0.01099,0.09985
549,1.02075,-0.0061,0.09814
551,1.02124,-0.01001,0.0979
553,1.01953,-0.00977,0.09912
555,1.01855,-0.01343,0.10352
557,1.02295,-0.01123,0.10327
568,1.01782,-0.00977,0.09082
570,1.01929,-0.00732,0.10205
572,1.01245,-0.00757,0.10327
574,1.01978,-0.01245,0.09692
576,1.02319,-0.01074,0.10034
578,1.02905,-0.00684,0.09863
580,1.02173,-0.01099,0.1001
582,1.01733,-0.01001,0.10327
584,1.0188,-0.00586,0.09277
586,1.01587,-0.00635,0.0979
588,1.01294,-0.00684,0.10254
599,1.02222,-0.00366,0.09155
601,1.02026,-0.00952,0.10156
603,1.01709,-0.00977,0.10303
605,1.02148,-0.01392,0.10156
607,1.02222,-0.0061,0.10327
609,1.01611,-0.01001,0.09985
611,1.021,-0.00928,0.10352
613,1.021,-0.00952,0.10767
615,1.02002,-0.00952,0.10669
617,1.02368,-0.00439,0.10376
619,1.02295,-0.00854,0.11157
621,1.02148,-0.00781,0.10962
632,1.02661,-0.00757,0.10889
634,1.01929,-0.00415,0.09863
636,1.02124,-0.01099,0.10327
638,1.01733,-0.00781,0.10693
640,1.02026,-0.01099,0.10107
642,1.02075,-0.00122,0.10229
644,1.02441,-0.00757,0.09937
646,1.02539,-0.00903,0.09961
648,1.02393,-0.00806,0.09546
650,1.02441,-0.00659,0.10693
652,1.02026,-0.00464,0.10571
654,1.02124,-0.0083,0.09668
665,1.01978,-0.00244,0.11157
667,1.02002,-0.00244,0.10254
669,1.01709,-0.00342,0.09473
671,1.02466,-0.00293,0.0979
673,1.01782,-0.0022,0.10327
675,1.02612,-0.00269,0.10059
677,1.02075,-0.00903,0.10498
679,1.02393,-0.01245,0.11621
681,1.02246,-0.00391,0.09985
683,1.02148,-0.00024,0.11353
685,1.02075,-0.00342,0.09473
687,1.01611,-0.00537,0.10815
698,1.02368,-0.00146,0.11035
700,1.02686,-0.00146,0.10669
702,1.02563,-0.00391,0.0979
704,1.01685,-0.00781,0.09961
706,1.02246,-0.00513,0.09985
708,1.01636,-0.0083,0.10303
710,1.02051,-0.00171,0.10205
712,1.01685,-0.00659,0.09595
714,1.02271,-0.01025,0.10962
716,1.01758,-0.00586,0.09839
718,1.02295,-0.00513,0.10596
720,1.01587,-0.00659,0.10352
731,1.021,-0.00513,0.10498
733,1.01367,-0.00708,0.10864
735,1.0166,-0.00269,0.09961
737,1.01929,-0.00928,0.10278
739,1.01758,-0.00708,0.10205
741,1.02271,-0.00952,0.11133
743,1.02466,-0.00659,0.10645
745,1.0188,-0.00391,0.10205
747,1.02295,-0.00415,0.10962
749,1.02417,-0.00464,0.1001
751,1.02344,-0.00684,0.10376
753,1.0188,-0.0061,0.10132
764,1.0249,-0.00903,0.10229
766,1.01807,-0.00806,0.09961
768,1.02222,-0.00513,0.10425
770,1.01929,-0.00659,0.10132
772,1.02002,-0.0083,0.10425
774,1.0188,-0.00928,0.10815
776,1.021,-0.0061,0.09863
778,1.021,-0.00562,0.1062
780,1.01782,-0.01172,0.10205
782,1.01416,-0.00757,0.1001
784,1.0127,-0.00439,0.10645
795,1.021,-0.00879,0.10034
797,1.02588,-0.00757,0.09717
799,1.01807,-0.01123,0.09448
801,1.0127,-0.00903,0.09985
803,1.01807,-0.00806,0.09546
805,1.01807,-0.0127,0.10034
807,1.02295,-0.01221,0.10693
809,1.02393,-0.00708,0.10938
811,1.01855,-0.01367,0.10547
813,1.01855,-0.00439,0.09717
815,1.02002,-0.00562,0.10327
817,1.0249,-0.01538,0.10205
828,1.01514,-0.00928,0.10132
830,1.01709,-0.00269,0.10205
832,1.01855,-0.00366,0.10815
834,1.0188,-0.00562,0.11133
836,1.02051,-0.01172,0.10425
838,1.01489,-0.00586,0.10498
840,1.02002,-0.00562,0.10278
842,1.02222,-0.00781,0.10474
844,1.02002,-0.00586,0.09692
846,1.021,-0.00464,0.10132
848,1.02393,-0.00415,0.09814
850,1.02246,0.00024,0.10205
861,1.02808,-0.00024,0.10791
863,1.02441,-0.00317,0.09839
865,1.02563,-0.00684,0.10425
867,1.02075,-0.00781,0.10693
869,1.01904,-0.00269,0.09741
871,1.01709,-0.00391,0.09619
873,1.02563,-0.00122,0.10645
875,1.02173,-0.00757,0.10132
877,1.0271,-0.00464,0.09351
879,1.02051,-0.00342,0.11035
881,1.02319,-0.0022,0.10425
883,1.02222,-0.00854,0.09912
894,1.02441,-0.00342,0.10083
896,1.01953,-0.00732,0.11084
898,1.021,-0.00146,0.1084
900,1.02832,-0.00659,0.10327
902,1.02808,-0.00903,0.10522
904,1.02368,0.00098,0.09644
906,1.02466,-0.00781,0.10571
908,1.01538,-0.00977,0.10693
910,1.02295,-0.00586,0.09839
912,1.01001,-0.0083,0.10669
914,1.0249,-0.0105,0.11084
916,1.01685,-0.00806,0.10376
927,1.02393,-0.0127,0.09814
929,1.02295,-0.00806,0.0918
931,1.01904,-0.00562,0.10498
933,1.01855,-0.00781,0.09375
935,1.01465,-0.01611,0.10278
937,1.01416,-0.01099,0.10425
939,1.02002,-0.01001,0.0979
941,1.0271,-0.0083,0.09668
943,1.01611,-0.00488,0.10864
945,1.02148,-0.00488,0.11548
947,1.02295,-0.00684,0.104
949,1.01611,-0.00635,0.11401
960,1.01953,-0.0144,0.10327
962,1.02515,-0.00684,0.10059
964,1.02417,-0.00781,0.09424
966,1.02197,-0.00928,0.11133
968,1.02393,-0.00684,0.09888
970,1.02075,-0.00317,0.09692
972,1.01343,-0.00903,0.10376
974,1.01855,-0.00586,0.10278
976,1.01758,-0.00684,0.10107
978,1.02124,-0.00708,0.10327
980,1.02026,-0.00659,0.09937
982,1.01831,-0.00073,0.10327
993,1.0249,-0.00439,0.09521
995,1.02441,-0.00439,0.11035
997,1.02002,-0.00513,0.1084
999,1.02002,0.00049,0.09766
1001,1.01831,-0.00684,0.09814
1003,1.01465,-0.00806,0.0979
1005,1.01855,-0.00757,0.1062
1007,1.03076,-0.00488,0.09424
1009,1.02295,-0.0022,0.09473
1011,1.02319,-0.00244,0.09424
1013,1.01782,-0.00537,0.09863
1015,1.02173,0.00073,0.10229
1026,1.02222,-0.00269,0.09277
1028,1.01685,-0.00269,0.11108
1030,1.02832,-0.00073,0.09985
1032,1.01685,-0.00708,0.09888
1034,1.02222,-0.00635,0.1001
1036,1.02783,-0.00293,0.10425
1038,1.0188,-0.00586,0.09741
1040,1.02124,-0.00488,0.10596
1042,1.02051,-0.01001,0.09595
1044,1.02148,-0.00391,0.10156
1046,1.021,-0.00659,0.10327
1048,1.01685,0.00317,0.10449
1059,1.02173,-0.00757,0.10425
1061,1.02002,-0.01099,0.09644
1063,1.01733,-0.00806,0.10059
1065,1.01855,-0.00757,0.09229
1067,1.01904,-0.00122,0.09863
1069,1.02002,-0.00757,0.09814
1071,1.02026,-0.00806,0.09644
1073,1.02271,-0.01367,0.10352
1075,1.021,-0.01025,0.09937
1077,1.02734,-0.00928,0.09521
1079,1.01489,-0.01245,0.10327
1081,1.02441,-0.0127,0.10767
1092,1.02466,-0.01758,0.11108
1094,1.02417,-0.00171,0.10718
1096,1.01709,-0.01123,0.11304
1098,1.02588,-0.00781,0.09888
1100,1.02222,-0.01465,0.10693
1102,1.02515,-0.00684,0.10425
1104,1.02295,-0.00757,0.10254
1106,1.02051,-0.00537,0.10376
1108,1.02026,-0.0127,0.09985
1110,1.02148,-0.01196,0.10278
1112,1.01831,-0.01001,0.09692
1123,1.02222,-0.0061,0.09009
1125,1.01636,-0.01367,0.09985
1127,1.02222,-0.00708,0.10889
1129,1.02393,-0.00488,0.10181
1131,1.02148,-0.00952,0.09839
1133,1.02466,-0.00488,0.10913
1135,1.01514,-0.0022,0.10107
1137,1.02856,-0.00586,0.09814
1139,1.02344,-0.00708,0.10303
1141,1.0188,0.00391,0.11206
1143,1.01758,-0.0083,0.09814
1145,1.01538,-0.00293,0.10254
1156,1.01953,0.00146,0.10303
1158,1.01465,-0.0061,0.10229
1160,1.02197,-0.00146,0.10498
1162,1.01587,-0.00659,0.09619
1164,1.01611,-0.00488,0.10107
1166,1.01904,0.00098,0.10889
1168,1.021,-0.00195,0.1106
1170,1.02173,-0.00122,0.10693
1172,1.02051,0.00171,0.09888
1174,1.02515,-0.00171,0.10303
1176,1.02246,-0.00415,0.10767
1178,1.0249,-0.00732,0.10132
1180,1.02148,-0.00635,0.10889
1191,1.01758,-0.0022,0.10303
1193,1.01978,-0.00903,0.10571
1195,1.02173,-0.00879,0.10767
1197,1.01953,-0.01196,0.10254
1199,1.02295,-0.00879,0.10742
1201,1.02368,-0.00806,0.09839
1203,1.01733,-0.00562,0.0979
1205,1.02051,-0.00391,0.09863
1207,1.01953,-0.00122,0.10474
1209,1.01782,-0.01221,0.0957
1211,1.02466,-0.01025,0.10034
1222,1.01758,-0.00879,0.10303
1224,1.02002,-0.00977,0.10693
1226,1.02295,-0.00928,0.10376
1228,1.02246,-0.00757,0.09912
1230,1.02222,-0.01025,0.09985
1232,1.02368,-0.01196,0.10718
1234,1.01538,-0.0083,0.09961
1236,1.01538,-0.00977,0.10669
1238,1.01782,-0.01074,0.10303
1240,1.01514,-0.0083,0.11133
1242,1.02246,-0.00537,0.10205
1244,1.02124,-0.01318,0.10596
1255,1.0166,-0.01001,0.10059
1257,1.02295,-0.00464,0.10425
1259,1.02417,-0.01367,0.09839
1261,1.01416,-0.00342,0.10083
1263,1.01782,-0.00903,0.09937
1265,1.01709,-0.01172,0.10474
1267,1.01709,-0.00732,0.0957
1269,1.01685,-0.00854,0.104
1271,1.0249,-0.00342,0.09766
1273,1.02271,-0.00488,0.09839
1275,1.02271,-0.00146,0.10645
1277,1.02026,-0.00293,0.09961
1288,1.02808,-0.01147,0.09888
1290,1.01758,-0.00317,0.09863
1292,1.01953,-0.00488,0.10449
1294,1.02441,-0.00708,0.10864
1296,1.01709,-0.00659,0.10767
1298,1.01904,-0.01025,0.11035
1300,1.02026,-0.00342,0.0957
1302,1.01953,-0.00269,0.1106
1304,1.01953,0.00098,0.09912
1306,1.02271,-0.00757,0.10376
1308,1.01831,-0.01318,0.09546
1310,1.02173,-0.00146,0.09814
1321,1.02759,-0.00195,0.10596
1323,1.02026,-0.00439,0.09717
1325,1.02344,-0.00781,0.104
1327,1.02368,-0.0083,0.09937
1329,1.02271,-0.00366,0.10229
1331,1.02295,-0.00415,0.1062
1333,1.02515,-0.00415,0.09912
1335,1.01807,-0.00415,0.10327
1337,1.01978,-0.00537,0.10059
1339,1.02075,-0.0061,0.10327
1341,1.02197,-0.01001,0.09985
1343,1.0293,-0.00244,0.10938
1354,1.02222,-0.00757,0.09644
1356,1.02197,-0.01172,0.10254
1358,1.02075,-0.00977,0.10205
1360,1.02026,-0.0127,0.10205
1362,1.01611,-0.00317,0.09473
1364,1.01733,-0.00293,0.10571
1366,1.02026,-0.01196,0.10156
1368,1.021,-0.00708,0.10156
1370,1.02197,-0.00757,0.1084
1372,1.02295,-0.01245,0.09741
1374,1.01343,-0.01147,0.09302
1376,1.02026,-0.01367,0.10498
